3.3000000000e-03   1.3166500000e+04   3.8990800000e-04   1.0368800000e+03   1.6802900000e-05   3.5015400000e-01   3.8652100000e-01   1.5475600000e-01   4.7253900000e-02   4.9515300000e-02   7.2676600000e-03   6.6904700000e-06   4.4984800000e-03   0.0000000000e+00   9.8367800000e-06   
3.4000000000e-03   1.2949500000e+04   3.9548000000e-04   1.0222700000e+03   1.6978700000e-05   3.4687900000e-01   3.9019200000e-01   1.5520700000e-01   4.8174700000e-02   4.7895200000e-02   7.6280500000e-03   5.8155700000e-06   3.9916100000e-03   0.0000000000e+00   9.0812900000e-06   
3.5000000000e-03   1.2770300000e+04   4.0021200000e-04   1.0101800000e+03   1.7122700000e-05   3.4430500000e-01   3.9315200000e-01   1.5568400000e-01   4.8983300000e-02   4.6307700000e-02   7.9841700000e-03   5.1708100000e-06   3.5526500000e-03   0.0000000000e+00   8.5010100000e-06   
3.6000100000e-03   1.2621900000e+04   4.0421800000e-04   1.0001700000e+03   1.7240600000e-05   3.4231200000e-01   3.9553000000e-01   1.5617800000e-01   4.9699400000e-02   4.4755400000e-02   8.3256100000e-03   4.6871200000e-06   3.1704900000e-03   0.0000000000e+00   8.0511900000e-06   
3.7000000000e-03   1.2498800000e+04   4.0759600000e-04   9.9188300000e+02   1.7337000000e-05   3.4080400000e-01   3.9742600000e-01   1.5668000000e-01   5.0338700000e-02   4.3240900000e-02   8.6449400000e-03   4.3182600000e-06   2.8363900000e-03   0.0000000000e+00   7.6997300000e-06   
3.8000000000e-03   1.2396700000e+04   4.1043500000e-04   9.8502200000e+02   1.7415600000e-05   3.3970300000e-01   3.9892400000e-01   1.5718500000e-01   5.0914100000e-02   4.1765000000e-02   8.9372200000e-03   4.0346000000e-06   2.5430300000e-03   0.0000000000e+00   7.4247500000e-06   
3.9000000000e-03   1.2311900000e+04   4.1281200000e-04   9.7934900000e+02   1.7479400000e-05   3.3894500000e-01   4.0009000000e-01   1.5768800000e-01   5.1436100000e-02   4.0328800000e-02   9.1991000000e-03   3.8144500000e-06   2.2845900000e-03   0.0000000000e+00   7.2092400000e-06   
4.0000000000e-03   1.2241400000e+04   4.1479700000e-04   9.7466300000e+02   1.7530800000e-05   3.3847600000e-01   4.0098100000e-01   1.5818300000e-01   5.1913400000e-02   3.8932900000e-02   9.4285800000e-03   3.6426700000e-06   2.0562000000e-03   0.0000000000e+00   7.0408700000e-06   
4.1000000000e-03   1.2182800000e+04   4.1644800000e-04   9.7079900000e+02   1.7571900000e-05   3.3825100000e-01   4.0164400000e-01   1.5866800000e-01   5.2353200000e-02   3.7577500000e-02   9.6247200000e-03   3.5083500000e-06   1.8538400000e-03   0.0000000000e+00   6.9099400000e-06   
4.2000100000e-03   1.2134000000e+04   4.1781800000e-04   9.6761500000e+02   1.7604500000e-05   3.3822900000e-01   4.0211700000e-01   1.5914100000e-01   5.2761700000e-02   3.6262200000e-02   9.7873900000e-03   3.4032600000e-06   1.6741100000e-03   0.0000000000e+00   6.8089800000e-06   
