#"Temp","n_e-","n_N","n_N+","n_O","n_O+","n_NO","n_N2","n_N2+","n_O2","n_O2+","n_NO+","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
#nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00000e+00,2.55000e-02,3.57211e-04,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.66461e-02,2.55000e-02,5.70033e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.76227e-02,2.55000e-02,5.79799e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.85994e-02,2.55000e-02,5.89566e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.95760e-02,2.55000e-02,5.99332e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.05527e-02,2.55000e-02,6.09099e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.15293e-02,2.55000e-02,6.18866e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.25060e-02,2.55000e-02,6.28632e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.34827e-02,2.55000e-02,6.38399e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.44593e-02,2.55000e-02,6.48165e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.54360e-02,2.55000e-02,6.57932e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.64126e-02,2.55000e-02,6.67698e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.73893e-02,2.55000e-02,6.77465e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.83659e-02,2.55000e-02,6.87231e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,6.93426e-02,2.55000e-02,6.96998e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.03193e-02,2.55000e-02,7.06765e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.12959e-02,2.55000e-02,7.16531e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.22726e-02,2.55000e-02,7.26298e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.32492e-02,2.55000e-02,7.36064e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.42259e-02,2.55000e-02,7.45831e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.52025e-02,2.55000e-02,7.55597e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.61792e-02,2.55000e-02,7.65364e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.71558e-02,2.55000e-02,7.75131e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.81325e-02,2.55000e-02,7.84897e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,7.91092e-02,2.55000e-02,7.94664e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.00858e-02,2.55000e-02,8.04430e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.10625e-02,2.55000e-02,8.14197e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.20391e-02,2.55000e-02,8.23963e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.30158e-02,2.55000e-02,8.33730e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.39924e-02,2.55000e-02,8.43496e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.49691e-02,2.55000e-02,8.53263e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.59457e-02,2.55000e-02,8.63030e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.69224e-02,2.55000e-02,8.72796e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.78991e-02,2.55000e-02,8.82563e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,8.88757e-02,2.55000e-02,8.92329e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.98524e-02,2.55000e-02,9.02096e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.08290e-02,2.55000e-02,9.11862e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.18057e-02,2.55000e-02,9.21629e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.27823e-02,2.55000e-02,9.31396e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.37590e-02,2.55000e-02,9.41162e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.47357e-02,2.55000e-02,9.50929e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.57123e-02,2.55000e-02,9.60695e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.66890e-02,2.55000e-02,9.70462e-02,0.00000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.76656e-02,2.55000e-02,9.80228e-02,0.00000e+00
